Contractor ID,Contractor Name,"Last WED Reported ",Snapshot WED,Company Type,Last Hire Date,Journeypersons,Is Inactive
000726,Advanced Roofing & SM,03/29/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",08/18/2025 00:00:00,2,False
000746,Air & Specialties Sheet Metal,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",01/12/2026 00:00:00,6,False
000736,Air Power Inc.,03/22/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades - No Industry, Compliance2, Independent, Compliance3",02/26/2024 00:00:00,1,False
000595,All Ply Roofing,12/28/2025 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",10/06/2025 00:00:00,1,False
"001395                        ",ARI PRODUCTS INC.,09/28/2025 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",11/05/2024 00:00:00,1,False
001369,BIG B CONTRACTING INC.,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",10/26/2025 00:00:00,1,False
000800,"Bonland Industries, Inc.",04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades - No Industry, School Hours, Compliance, Compliance2, Independent",03/17/2026 00:00:00,61,False
001127,Brothers Sheet Metal,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",08/18/2025 06:00:00,10,False
000775,Chris Andersen Roofing,03/29/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",06/01/2024 00:00:00,1,False
000835,D&M Sheet Metal,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance2, SMACNA, Compliance3",12/09/2024 00:00:00,1,False
001353,DOME SHEET METAL,09/21/2025 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",07/14/2025 00:00:00,1,False
001390,Drs Air Balancing Corp.,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",07/25/2022 00:00:00,6,False
001426,Dynamic Kitchen Installers,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",09/16/2024 00:00:00,1,False
000872,Environmental Climate Control,03/29/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA, Shift Work",03/25/2026 07:00:00,31,False
001276,"Epic Mechanical, Inc.",11/02/2025 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",04/15/2025 00:00:00,1,False
000683,F&G Mechanical Corp.,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",12/08/2025 00:00:00,2,False
000865,G P Systems,02/08/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",05/09/2025 00:00:00,1,False
000941,"Independent Sheet Metal Co., Inc.",04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",11/17/2025 00:00:00,26,False
000925,Jansons Associates,03/29/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, Compliance, Compliance2, SMACNA",03/04/2025 00:00:00,1,False
006001,KF MECHANICAL LLC MARK REC,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Market Recovery - No Industry, Compliance, Compliance2",03/02/2026 00:00:00,7,False
000601,"KF Mechanical, LLC",04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades - No Industry, School Hours, Compliance, Compliance2, Independent",03/30/2026 06:30:00,28,False
001412,MONAGHAN RESTORATION SERVICES,03/29/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Building Trades - No Industry, Compliance, Compliance2, SMACNA, Independent",08/22/2025 00:00:00,2,False
000982,PAR Sheet Metal,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",03/10/2026 00:00:00,4,False
001449,PATWOOD ROOFING,12/31/2025 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, Independent, Compliance3",05/01/2025 00:00:00,1,False
001397,PREFERRED MECHANICAL INC,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",07/01/2024 00:00:00,1,False
001385,RICHARD SHEET METAL INC,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA, Independent",03/16/2026 00:00:00,12,False
001408,S-A-C INSTALLERS,02/22/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",11/07/2022 00:00:00,1,False
001431,THASSIAN MECHANCIAL CONTRACTING,03/22/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",07/22/2025 07:00:00,4,False
001433,TNT MATERIALS OF NJ,03/08/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",01/19/2026 00:00:00,2,False
001237,Ultimate Comfort Control Corp.,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",02/10/2025 00:00:00,7,False
001364,Wun-Call LLC,04/05/2026 00:00:00,04/05/2026 00:00:00,"Signatory, Building Trades - No Industry, Compliance, Compliance2, Independent",01/18/2025 00:00:00,4,False
